Pedurma-ID,Other-ID,Title,Image-group,Range,First-image,Last-image
AT2587,Q4711,ku ru kul+le'i las sbyor gyi man ngag,I1PD95887,1625-1629,I1PD958871682.jpg,I1PD958871686.jpg
AT2588,Q4712,rigs ldan ma'i sgrub thabs,I1PD95887,1630-1632,I1PD958871687.jpg,I1PD958871689.jpg
AT2590,Q4714,rje btsun ku ru ku le la bstod pa,I1PD95887,1637-1640,I1PD958871694.jpg,I1PD958871697.jpg
AT2591,Q4715,rnal 'byor mdor bsdus pa,I1PD95887,1641-1646,I1PD958871698.jpg,I1PD958871703.jpg
AT2592,Q4716,bdud rtsi thigs pa zhes bya ba,I1PD95888,3-204,I1PD958880034.jpg,I1PD958880235.jpg
AT2593,Q4717,thabs kyi zhags pa pad+mo'i 'phreng ba'i 'grel pa,I1PD95888,205-266,I1PD958880236.jpg,I1PD958880297.jpg
AT2594,Q4718,rgyud kyi rgyal po chen po dpal gsang ba'i snying po'i 'grel pa,I1PD95888,267-428,I1PD958880298.jpg,I1PD958880459.jpg
AT2595,Q4719,de kho na nyid nges pa'i rgya cher bshad pa'i 'grel pa,I1PD95888,429-769,I1PD958880460.jpg,I1PD958880800.jpg
AT2596,Q4720,sgyu 'phrul dra ba rdo rje las kyi rim pa zhes bya ba,I1PD95888,770-808,I1PD958880801.jpg,I1PD958880839.jpg
AT2597,Q4721,rdo rje sems dpa'i sgyu 'phrul dra ba'i dbang gis gal po,I1PD95888,809-814,I1PD958880840.jpg,I1PD958880845.jpg
AT2598,Q4722,dbang gi don nges par 'byed pa,I1PD95888,815-828,I1PD958880846.jpg,I1PD958880859.jpg
AT2599,Q4723,thugs kyi thigs pa zhes bya ba,I1PD95888,829-832,I1PD958880860.jpg,I1PD958880863.jpg
AT2600,Q4724,gsang ba'i thigs pa'i man ngag ,I1PD95888,833-835,I1PD958880864.jpg,I1PD958880866.jpg
AT2601,Q4725,rnal 'byor chen po shes rab spyan 'byed kyi man ngag ces bya ba,I1PD95888,836-840,I1PD958880867.jpg,I1PD958880871.jpg
AT2602,Q4726,man ngag gi rgyal po lta ba'i 'phreng ba,I1PD95888,841-852,I1PD958880872.jpg,I1PD958880883.jpg
AT2603,Q4727,las shan lta ba'i sgron mazhes bya ba,I1PD95888,853-862,I1PD958880884.jpg,I1PD958880893.jpg
AT2604,Q4728,lta ba'i rim pa yi man ngag,I1PD95888,863-868,I1PD958880894.jpg,I1PD958880899.jpg
AT2605,Q4729,g.yu'i thang ma kras dgu,I1PD95888,869-883,I1PD958880900.jpg,I1PD958880914.jpg
AT2606,Q4730,sgyu 'phrul dra ba me long lta bu'i bsgrub thabs,I1PD95888,884-899,I1PD958880915.jpg,I1PD958880930.jpg
AT2607,Q4731,rdo rje sems dpa' sgyu 'phrul dra ba'i 'od kyi rim pa,I1PD95888,900-918,I1PD958880931.jpg,I1PD958880949.jpg
AT2608,Q4732,sgyu 'phrul phyag rgya bsam gtan,I1PD95888,919-923,I1PD958880950.jpg,I1PD958880954.jpg
